Index	Plate	Row	Col	LC_Position	Date	Signature	Sample_name	Compound	Timepoint	Well_Type	LC_Well_Type	Replicate	Sample_text
187	4	H	7	4:H,7						blank	blank		blank
188	4	H	8	4:H,8						blank	blank		blank
189	4	H	9	4:H,9						blank	blank		blank
190	4	H	10	4:H,10						blank	blank		blank
191	4	H	11	4:H,11						blank	blank		blank
192	4	H	12	4:H,12						blank	blank		blank
193	5	A	1	5:A,1						blank	blank		blank
194	5	A	2	5:A,2						blank	blank		blank
195	5	A	3	5:A,3						blank	blank		blank
196	5	A	4	5:A,4						blank	blank		blank
197	5	A	5	5:A,5						blank	blank		blank
198	5	A	6	5:A,6						blank	blank		blank
199	5	A	7	5:A,7						blank	blank		blank
200	5	A	8	5:A,8						blank	blank		blank
201	5	A	9	5:A,9						blank	blank		blank
202	5	A	10	5:A,10						blank	blank		blank
203	5	A	11	5:A,11						blank	blank		blank
204	5	A	12	5:A,12						blank	blank		blank
205	5	B	1	5:B,1						blank	blank		blank
206	5	B	2	5:B,2						blank	blank		blank
207	5	B	3	5:B,3						blank	blank		blank
208	5	B	4	5:B,4						blank	blank		blank
209	5	B	5	5:B,5						blank	blank		blank
210	5	B	6	5:B,6						blank	blank		blank
211	5	B	7	5:B,7						blank	blank		blank
212	5	B	8	5:B,8						blank	blank		blank
213	5	B	9	5:B,9						blank	blank		blank
214	5	B	10	5:B,10						blank	blank		blank
215	5	B	11	5:B,11						blank	blank		blank
216	5	B	12	5:B,12						blank	blank		blank
217	5	C	1	5:C,1						blank	blank		blank
218	5	C	2	5:C,2						blank	blank		blank
219	5	C	3	5:C,3						blank	blank		blank
220	5	C	4	5:C,4						blank	blank		blank
221	5	C	5	5:C,5						blank	blank		blank
222	5	C	6	5:C,6						blank	blank		blank
223	5	C	7	5:C,7						blank	blank		blank
224	5	C	8	5:C,8						blank	blank		blank
225	5	C	9	5:C,9						blank	blank		blank
226	5	C	10	5:C,10						blank	blank		blank
227	5	C	11	5:C,11						blank	blank		blank
228	5	C	12	5:C,12						blank	blank		blank
229	5	D	1	5:D,1						blank	blank		blank
230	5	D	2	5:D,2						blank	blank		blank
231	5	D	3	5:D,3						blank	blank		blank
232	5	D	4	5:D,4						blank	blank		blank
233	5	D	5	5:D,5						blank	blank		blank
234	5	D	6	5:D,6						blank	blank		blank
235	5	D	7	5:D,7						blank	blank		blank
236	5	D	8	5:D,8						blank	blank		blank
237	5	D	9	5:D,9						blank	blank		blank
238	5	D	10	5:D,10						blank	blank		blank
239	5	D	11	5:D,11						blank	blank		blank
240	5	D	12	5:D,12						blank	blank		blank
241	5	E	1	5:E,1						blank	blank		blank
242	5	E	2	5:E,2						blank	blank		blank
243	5	E	3	5:E,3						blank	blank		blank
244	5	E	4	5:E,4						blank	blank		blank
245	5	E	5	5:E,5						blank	blank		blank
246	5	E	6	5:E,6						blank	blank		blank
247	5	E	7	5:E,7						blank	blank		blank
248	5	E	8	5:E,8						blank	blank		blank
249	5	E	9	5:E,9						blank	blank		blank
250	5	E	10	5:E,10						blank	blank		blank
251	5	E	11	5:E,11						blank	blank		blank
252	5	E	12	5:E,12						blank	blank		blank
253	5	F	1	5:F,1						blank	blank		blank
254	5	F	2	5:F,2						blank	blank		blank
255	5	F	3	5:F,3						blank	blank		blank
256	5	F	4	5:F,4						blank	blank		blank
257	5	F	5	5:F,5						blank	blank		blank
258	5	F	6	5:F,6						blank	blank		blank
259	5	F	7	5:F,7						blank	blank		blank
260	5	F	8	5:F,8						blank	blank		blank
261	5	F	9	5:F,9						blank	blank		blank
262	5	F	10	5:F,10						blank	blank		blank
263	5	F	11	5:F,11						blank	blank		blank
264	5	F	12	5:F,12						blank	blank		blank
265	5	G	1	5:G,1						blank	blank		blank
266	5	G	2	5:G,2						blank	blank		blank
267	5	G	3	5:G,3						blank	blank		blank
268	5	G	4	5:G,4						blank	blank		blank
269	5	G	5	5:G,5						blank	blank		blank
270	5	G	6	5:G,6						blank	blank		blank
271	5	G	7	5:G,7						blank	blank		blank
272	5	G	8	5:G,8						blank	blank		blank
273	5	G	9	5:G,9						blank	blank		blank
274	5	G	10	5:G,10						blank	blank		blank
275	5	G	11	5:G,11						blank	blank		blank
276	5	G	12	5:G,12						blank	blank		blank
277	5	H	1	5:H,1						blank	blank		blank
278	5	H	2	5:H,2						blank	blank		blank
279	5	H	3	5:H,3						blank	blank		blank
280	5	H	4	5:H,4						blank	blank		blank
281	5	H	5	5:H,5						blank	blank		blank
282	5	H	6	5:H,6						blank	blank		blank
283	5	H	7	5:H,7						blank	blank		blank
284	5	H	8	5:H,8						blank	blank		blank
285	5	H	9	5:H,9						blank	blank		blank
286	5	H	10	5:H,10						blank	blank		blank
287	5	H	11	5:H,11						blank	blank		blank
288	5	H	12	5:H,12						blank	blank		blank
289	6	A	1	6:A,1						blank	blank		blank
290	6	A	2	6:A,2						blank	blank		blank
291	6	A	3	6:A,3						blank	blank		blank
292	6	A	4	6:A,4						blank	blank		blank
293	6	A	5	6:A,5						blank	blank		blank
294	6	A	6	6:A,6						blank	blank		blank
295	6	A	7	6:A,7						blank	blank		blank
296	6	A	8	6:A,8						blank	blank		blank
297	6	A	9	6:A,9						blank	blank		blank
298	6	A	10	6:A,10						blank	blank		blank
299	6	A	11	6:A,11						blank	blank		blank
300	6	A	12	6:A,12						blank	blank		blank
301	6	B	1	6:B,1						blank	blank		blank
302	6	B	2	6:B,2						blank	blank		blank
303	6	B	3	6:B,3						blank	blank		blank
304	6	B	4	6:B,4						blank	blank		blank
305	6	B	5	6:B,5						blank	blank		blank
306	6	B	6	6:B,6						blank	blank		blank
307	6	B	7	6:B,7						blank	blank		blank
308	6	B	8	6:B,8						blank	blank		blank
309	6	B	9	6:B,9						blank	blank		blank
310	6	B	10	6:B,10						blank	blank		blank
311	6	B	11	6:B,11						blank	blank		blank
312	6	B	12	6:B,12						blank	blank		blank
313	6	C	1	6:C,1						blank	blank		blank
314	6	C	2	6:C,2						blank	blank		blank
315	6	C	3	6:C,3						blank	blank		blank
316	6	C	4	6:C,4						blank	blank		blank
317	6	C	5	6:C,5						blank	blank		blank
318	6	C	6	6:C,6						blank	blank		blank
319	6	C	7	6:C,7						blank	blank		blank
320	6	C	8	6:C,8						blank	blank		blank
321	6	C	9	6:C,9						blank	blank		blank
322	6	C	10	6:C,10						blank	blank		blank
323	6	C	11	6:C,11						blank	blank		blank
324	6	C	12	6:C,12						blank	blank		blank
325	6	D	1	6:D,1						blank	blank		blank
326	6	D	2	6:D,2						blank	blank		blank
327	6	D	3	6:D,3						blank	blank		blank
328	6	D	4	6:D,4						blank	blank		blank
329	6	D	5	6:D,5						blank	blank		blank
330	6	D	6	6:D,6						blank	blank		blank
331	6	D	7	6:D,7						blank	blank		blank
332	6	D	8	6:D,8						blank	blank		blank
333	6	D	9	6:D,9						blank	blank		blank
334	6	D	10	6:D,10						blank	blank		blank
335	6	D	11	6:D,11						blank	blank		blank
336	6	D	12	6:D,12						blank	blank		blank
337	6	E	1	6:E,1						blank	blank		blank
338	6	E	2	6:E,2						blank	blank		blank
339	6	E	3	6:E,3						blank	blank		blank
340	6	E	4	6:E,4						blank	blank		blank
341	6	E	5	6:E,5						blank	blank		blank
342	6	E	6	6:E,6						blank	blank		blank
343	6	E	7	6:E,7						blank	blank		blank
344	6	E	8	6:E,8						blank	blank		blank
345	6	E	9	6:E,9						blank	blank		blank
346	6	E	10	6:E,10						blank	blank		blank
347	6	E	11	6:E,11						blank	blank		blank
348	6	E	12	6:E,12						blank	blank		blank
349	6	F	1	6:F,1						blank	blank		blank
350	6	F	2	6:F,2						blank	blank		blank
351	6	F	3	6:F,3						blank	blank		blank
352	6	F	4	6:F,4						blank	blank		blank
353	6	F	5	6:F,5						blank	blank		blank
354	6	F	6	6:F,6						blank	blank		blank
355	6	F	7	6:F,7						blank	blank		blank
356	6	F	8	6:F,8						blank	blank		blank
357	6	F	9	6:F,9						blank	blank		blank
358	6	F	10	6:F,10						blank	blank		blank
359	6	F	11	6:F,11						blank	blank		blank
360	6	F	12	6:F,12						blank	blank		blank
361	6	G	1	6:G,1						blank	blank		blank
362	6	G	2	6:G,2						blank	blank		blank
363	6	G	3	6:G,3						blank	blank		blank
364	6	G	4	6:G,4						blank	blank		blank
365	6	G	5	6:G,5						blank	blank		blank
366	6	G	6	6:G,6						blank	blank		blank
367	6	G	7	6:G,7						blank	blank		blank
368	6	G	8	6:G,8						blank	blank		blank
369	6	G	9	6:G,9						blank	blank		blank
370	6	G	10	6:G,10						blank	blank		blank
371	6	G	11	6:G,11						blank	blank		blank
372	6	G	12	6:G,12						blank	blank		blank
373	6	H	1	6:H,1						blank	blank		blank
374	6	H	2	6:H,2						blank	blank		blank
375	6	H	3	6:H,3						blank	blank		blank
376	6	H	4	6:H,4						blank	blank		blank
377	6	H	5	6:H,5						blank	blank		blank
378	6	H	6	6:H,6						blank	blank		blank
379	6	H	7	6:H,7						blank	blank		blank
380	6	H	8	6:H,8						blank	blank		blank
381	6	H	9	6:H,9						blank	blank		blank
382	6	H	10	6:H,10						blank	blank		blank
383	6	H	11	6:H,11						blank	blank		blank
384	6	H	12	6:H,12						blank	blank		blank
385	7	A	1	7:A,1						blank	blank		blank
386	7	A	2	7:A,2						blank	blank		blank
387	7	A	3	7:A,3						blank	blank		blank
388	7	A	4	7:A,4						blank	blank		blank
389	7	A	5	7:A,5						blank	blank		blank
390	7	A	6	7:A,6						blank	blank		blank
391	7	A	7	7:A,7						blank	blank		blank
392	7	A	8	7:A,8						blank	blank		blank
393	7	A	9	7:A,9						blank	blank		blank
394	7	A	10	7:A,10						blank	blank		blank
395	7	A	11	7:A,11						blank	blank		blank
396	7	A	12	7:A,12						blank	blank		blank
397	7	B	1	7:B,1						blank	blank		blank
398	7	B	2	7:B,2						blank	blank		blank
399	7	B	3	7:B,3						blank	blank		blank
400	7	B	4	7:B,4						blank	blank		blank
401	7	B	5	7:B,5						blank	blank		blank
402	7	B	6	7:B,6						blank	blank		blank
403	7	B	7	7:B,7						blank	blank		blank
404	7	B	8	7:B,8						blank	blank		blank
405	7	B	9	7:B,9						blank	blank		blank
406	7	B	10	7:B,10						blank	blank		blank
407	7	B	11	7:B,11						blank	blank		blank
408	7	B	12	7:B,12						blank	blank		blank
409	7	C	1	7:C,1						blank	blank		blank
410	7	C	2	7:C,2						blank	blank		blank
411	7	C	3	7:C,3						blank	blank		blank
412	7	C	4	7:C,4						blank	blank		blank
413	7	C	5	7:C,5						blank	blank		blank
414	7	C	6	7:C,6						blank	blank		blank
415	7	C	7	7:C,7						blank	blank		blank
416	7	C	8	7:C,8						blank	blank		blank
417	7	C	9	7:C,9						blank	blank		blank
418	7	C	10	7:C,10						blank	blank		blank
419	7	C	11	7:C,11						blank	blank		blank
420	7	C	12	7:C,12						blank	blank		blank
421	7	D	1	7:D,1						blank	blank		blank
422	7	D	2	7:D,2						blank	blank		blank
423	7	D	3	7:D,3						blank	blank		blank
424	7	D	4	7:D,4						blank	blank		blank
425	7	D	5	7:D,5						blank	blank		blank
426	7	D	6	7:D,6						blank	blank		blank
427	7	D	7	7:D,7						blank	blank		blank
428	7	D	8	7:D,8						blank	blank		blank
429	7	D	9	7:D,9						blank	blank		blank
430	7	D	10	7:D,10						blank	blank		blank
431	7	D	11	7:D,11						blank	blank		blank
432	7	D	12	7:D,12						blank	blank		blank
433	7	E	1	7:E,1						blank	blank		blank
434	7	E	2	7:E,2						blank	blank		blank
435	7	E	3	7:E,3						blank	blank		blank
436	7	E	4	7:E,4						blank	blank		blank
437	7	E	5	7:E,5						blank	blank		blank
438	7	E	6	7:E,6						blank	blank		blank
439	7	E	7	7:E,7						blank	blank		blank
440	7	E	8	7:E,8						blank	blank		blank
441	7	E	9	7:E,9						blank	blank		blank
442	7	E	10	7:E,10						blank	blank		blank
443	7	E	11	7:E,11						blank	blank		blank
444	7	E	12	7:E,12						blank	blank		blank
445	7	F	1	7:F,1						blank	blank		blank
446	7	F	2	7:F,2						blank	blank		blank
447	7	F	3	7:F,3						blank	blank		blank
448	7	F	4	7:F,4						blank	blank		blank
449	7	F	5	7:F,5						blank	blank		blank
450	7	F	6	7:F,6						blank	blank		blank
451	7	F	7	7:F,7						blank	blank		blank
452	7	F	8	7:F,8						blank	blank		blank
453	7	F	9	7:F,9						blank	blank		blank
454	7	F	10	7:F,10						blank	blank		blank
455	7	F	11	7:F,11						blank	blank		blank
456	7	F	12	7:F,12						blank	blank		blank
457	7	G	1	7:G,1						blank	blank		blank
458	7	G	2	7:G,2						blank	blank		blank
459	7	G	3	7:G,3						blank	blank		blank
460	7	G	4	7:G,4						blank	blank		blank
461	7	G	5	7:G,5						blank	blank		blank
462	7	G	6	7:G,6						blank	blank		blank
463	7	G	7	7:G,7						blank	blank		blank
464	7	G	8	7:G,8						blank	blank		blank
465	7	G	9	7:G,9						blank	blank		blank
466	7	G	10	7:G,10						blank	blank		blank
467	7	G	11	7:G,11						blank	blank		blank
468	7	G	12	7:G,12						blank	blank		blank
469	7	H	1	7:H,1						blank	blank		blank
470	7	H	2	7:H,2						blank	blank		blank
471	7	H	3	7:H,3						blank	blank		blank
472	7	H	4	7:H,4						blank	blank		blank
473	7	H	5	7:H,5						blank	blank		blank
474	7	H	6	7:H,6						blank	blank		blank
475	7	H	7	7:H,7						blank	blank		blank
476	7	H	8	7:H,8						blank	blank		blank
477	7	H	9	7:H,9						blank	blank		blank
478	7	H	10	7:H,10						blank	blank		blank
479	7	H	11	7:H,11						blank	blank		blank
480	7	H	12	7:H,12						blank	blank		blank
481	8	A	1	8:A,1						blank	blank		blank
482	8	A	2	8:A,2						blank	blank		blank
483	8	A	3	8:A,3						blank	blank		blank
484	8	A	4	8:A,4						blank	blank		blank
485	8	A	5	8:A,5						blank	blank		blank
486	8	A	6	8:A,6						blank	blank		blank
487	8	A	7	8:A,7						blank	blank		blank
488	8	A	8	8:A,8						blank	blank		blank
489	8	A	9	8:A,9						blank	blank		blank
490	8	A	10	8:A,10						blank	blank		blank
491	8	A	11	8:A,11						blank	blank		blank
492	8	A	12	8:A,12						blank	blank		blank
493	8	B	1	8:B,1						blank	blank		blank
494	8	B	2	8:B,2						blank	blank		blank
495	8	B	3	8:B,3						blank	blank		blank
496	8	B	4	8:B,4						blank	blank		blank
497	8	B	5	8:B,5						blank	blank		blank
498	8	B	6	8:B,6						blank	blank		blank
499	8	B	7	8:B,7						blank	blank		blank
500	8	B	8	8:B,8						blank	blank		blank
501	8	B	9	8:B,9						blank	blank		blank
502	8	B	10	8:B,10						blank	blank		blank
503	8	B	11	8:B,11						blank	blank		blank
504	8	B	12	8:B,12						blank	blank		blank
505	8	C	1	8:C,1						blank	blank		blank
506	8	C	2	8:C,2						blank	blank		blank
507	8	C	3	8:C,3						blank	blank		blank
508	8	C	4	8:C,4						blank	blank		blank
509	8	C	5	8:C,5						blank	blank		blank
510	8	C	6	8:C,6						blank	blank		blank
511	8	C	7	8:C,7						blank	blank		blank
512	8	C	8	8:C,8						blank	blank		blank
513	8	C	9	8:C,9						blank	blank		blank
514	8	C	10	8:C,10						blank	blank		blank
515	8	C	11	8:C,11						blank	blank		blank
516	8	C	12	8:C,12						blank	blank		blank
517	8	D	1	8:D,1						blank	blank		blank
518	8	D	2	8:D,2						blank	blank		blank
519	8	D	3	8:D,3						blank	blank		blank
520	8	D	4	8:D,4						blank	blank		blank
521	8	D	5	8:D,5						blank	blank		blank
522	8	D	6	8:D,6						blank	blank		blank
523	8	D	7	8:D,7						blank	blank		blank
524	8	D	8	8:D,8						blank	blank		blank
525	8	D	9	8:D,9						blank	blank		blank
526	8	D	10	8:D,10						blank	blank		blank
527	8	D	11	8:D,11						blank	blank		blank
528	8	D	12	8:D,12						blank	blank		blank
529	8	E	1	8:E,1						blank	blank		blank
530	8	E	2	8:E,2						blank	blank		blank
531	8	E	3	8:E,3						blank	blank		blank
532	8	E	4	8:E,4						blank	blank		blank
533	8	E	5	8:E,5						blank	blank		blank
534	8	E	6	8:E,6						blank	blank		blank
535	8	E	7	8:E,7						blank	blank		blank
536	8	E	8	8:E,8						blank	blank		blank
537	8	E	9	8:E,9						blank	blank		blank
538	8	E	10	8:E,10						blank	blank		blank
539	8	E	11	8:E,11						blank	blank		blank
540	8	E	12	8:E,12						blank	blank		blank
541	8	F	1	8:F,1						blank	blank		blank
542	8	F	2	8:F,2						blank	blank		blank
543	8	F	3	8:F,3						blank	blank		blank
544	8	F	4	8:F,4						blank	blank		blank
545	8	F	5	8:F,5						blank	blank		blank
546	8	F	6	8:F,6						blank	blank		blank
547	8	F	7	8:F,7						blank	blank		blank
548	8	F	8	8:F,8						blank	blank		blank
549	8	F	9	8:F,9						blank	blank		blank
550	8	F	10	8:F,10						blank	blank		blank
551	8	F	11	8:F,11						blank	blank		blank
552	8	F	12	8:F,12						blank	blank		blank
553	8	G	1	8:G,1						blank	blank		blank
554	8	G	2	8:G,2						blank	blank		blank
555	8	G	3	8:G,3						blank	blank		blank
556	8	G	4	8:G,4						blank	blank		blank
557	8	G	5	8:G,5						blank	blank		blank
558	8	G	6	8:G,6						blank	blank		blank
559	8	G	7	8:G,7						blank	blank		blank
560	8	G	8	8:G,8						blank	blank		blank
561	8	G	9	8:G,9						blank	blank		blank
562	8	G	10	8:G,10						blank	blank		blank
563	8	G	11	8:G,11						blank	blank		blank
564	8	G	12	8:G,12						blank	blank		blank
565	8	H	1	8:H,1						blank	blank		blank
566	8	H	2	8:H,2						blank	blank		blank
567	8	H	3	8:H,3						blank	blank		blank
568	8	H	4	8:H,4						blank	blank		blank
569	8	H	5	8:H,5						blank	blank		blank
570	8	H	6	8:H,6						blank	blank		blank
571	8	H	7	8:H,7						blank	blank		blank
572	8	H	8	8:H,8						blank	blank		blank
573	8	H	9	8:H,9						blank	blank		blank
574	8	H	10	8:H,10						blank	blank		blank
575	8	H	11	8:H,11						blank	blank		blank
576	8	H	12	8:H,12						blank	blank		blank
577	9	A	1	9:A,1						blank	blank		blank
578	9	A	2	9:A,2						blank	blank		blank
579	9	A	3	9:A,3						blank	blank		blank
580	9	A	4	9:A,4						blank	blank		blank
581	9	A	5	9:A,5						blank	blank		blank
582	9	A	6	9:A,6						blank	blank		blank
583	9	A	7	9:A,7						blank	blank		blank
584	9	A	8	9:A,8						blank	blank		blank
585	9	A	9	9:A,9						blank	blank		blank
586	9	A	10	9:A,10						blank	blank		blank
587	9	A	11	9:A,11						blank	blank		blank
588	9	A	12	9:A,12						blank	blank		blank
589	9	B	1	9:B,1						blank	blank		blank
590	9	B	2	9:B,2						blank	blank		blank
591	9	B	3	9:B,3						blank	blank		blank
592	9	B	4	9:B,4						blank	blank		blank
593	9	B	5	9:B,5						blank	blank		blank
594	9	B	6	9:B,6						blank	blank		blank
595	9	B	7	9:B,7						blank	blank		blank
596	9	B	8	9:B,8						blank	blank		blank
597	9	B	9	9:B,9						blank	blank		blank
598	9	B	10	9:B,10						blank	blank		blank
599	9	B	11	9:B,11						blank	blank		blank
